	Values[k1].InitialValue	Values[kd1].InitialValue	Values[kt3].InitialValue	Values[kt5].InitialValue	Values[k2].InitialValue	Values[kd2].InitialValue	Values[lk1].InitialValue	Values[lkd1].InitialValue	Values[kc].InitialValue	Values[kd].InitialValue	Values[k3].InitialValue
[l1]	1	-0.000166506	-0.499667	-0.499667	0	0	0	0	-1.80911e-13	-1.80911e-13	-1.80911e-13
[l13]	1	-0.000499462	0.499833	-1.49784	0	-1.80971e-13	-1.80971e-13	-1.80971e-13	-1.80971e-13	0	-1.80971e-13
[l15]	1	-0.000499462	-1.49784	0.499833	0	-1.80971e-13	0	0	0	-1.80971e-13	-1.80971e-13
[l135]	1	-0.00982958	0.00024944	0.00024944	-0.989689	0	0	0	0	0	0
[c]	1.03065	-0.0101305	0.000257076	0.000257076	0.00960633	-2.34116e-06	-1.02955	0.999998	-0.998999	0.470587	-0.470117
[s]	-0.0306146	0.000300928	-7.6365e-06	-7.6365e-06	-0.000285358	6.95447e-08	1.03061	-0.999001	-6.94752e-08	3.27269e-08	-3.26943e-08
[cs]	1	-0.00982958	0.00024944	0.00024944	0.00932097	-2.27162e-06	2.33875e-06	-2.27162e-06	2.26935e-06	-1.069e-06	-0.999
[l2]	1	-0.00982958	0.00024944	0.00024944	0.00932097	-2.27162e-06	2.33875e-06	-0.999003	2.26935e-06	-1.069e-06	1.06793e-06
[sa]	1	-0.00982958	0.00024944	0.00024944	0.00932097	-2.27162e-06	2.33875e-06	-0.999003	2.26935e-06	-1.069e-06	1.06793e-06
[sb]	1	-0.00982958	0.00024944	0.00024944	0.00932097	-2.27162e-06	2.33875e-06	-0.999003	2.26935e-06	-1.069e-06	1.06793e-06
