Values[k1].InitialValue	Values[kd1].InitialValue	Values[kt3].InitialValue	Values[kt5].InitialValue	Values[k2].InitialValue	Values[kd2].InitialValue	Time	[l1]	[l13]	[l15]	[l135]	[c]
2.55123	0.161284	960.427	442.901	17.6382	0.0667321	0	0.00181778	0.00394039	0.000838127	0.143272	37.8687
2.0739	0.316557	427.703	215.053	16.7939	0.0448076	0	0.00322499	0.00640452	0.00162035	0.120999	45.3503
2.63985	0.143327	500.477	421.194	18.5153	0.0576229	0	0.00286376	0.00340165	0.00240941	0.141415	45.4393
1.41914	0.252455	778.112	214.931	16.7978	0.0285254	0	0.00142872	0.00516632	0.000394516	0.0831297	48.9527
2.921	0.271229	428.45	12.5243	17.3601	0.0344471	0	0.00661989	0.221663	0.000193387	0.162156	81.7209
2.56031	0.312238	608.921	859.27	18.8884	0.0765496	0	0.00174348	0.00123507	0.00245903	0.133256	32.8807
1.2683	0.216002	516.026	640.003	17.7513	0.0480043	0	0.00109691	0.000884127	0.00135988	0.0705491	26.0881
2.97165	0.276276	706.878	704.119	18.8868	0.0552293	0	0.00210565	0.00211307	0.00209661	0.15498	52.9987
3.4704	0.180078	29.2924	933.751	17.6517	0.0320871	0	0.0036029	0.000113004	0.114147	0.193429	106.408
3.06957	0.129519	184.916	661.893	17.0894	0.0714453	0	0.00362431	0.00101234	0.0129639	0.178135	42.6091
2.07108	0.123046	165.267	851.023	18.2739	0.0644073	0	0.00203764	0.000395648	0.0104848	0.112491	31.9164
3.43	0.327726	430.539	655.537	17.9947	0.0626273	0	0.00315721	0.00207253	0.0048035	0.187023	53.7373
2.1741	0.153683	713.539	528.465	18.5758	0.0813551	0	0.00175026	0.00236254	0.00129601	0.116035	26.4942
1.35015	0.255213	627.702	61.5635	17.196	0.0458852	0	0.0019581	0.0198824	0.000191968	0.0770448	28.8734
3.34636	0.280416	568.602	7.2347	18.6162	0.0295543	0	0.00580847	0.439475	7.38687e-05	0.170479	107.384
1.77544	0.296676	238.315	619.668	17.3872	0.0631107	0	0.0020686	0.000795171	0.0053721	0.10026	27.6221
1.85538	0.267523	616.436	690.064	18.9363	0.0705464	0	0.00141982	0.00126784	0.00158872	0.0965557	25.9178
3.45523	0.136057	835.642	118.042	18.0328	0.028569	0	0.00362252	0.0256151	0.00051163	0.18995	119.897
1.61042	0.277526	222.4	189.977	18.5765	0.0432659	0	0.00390258	0.00456197	0.00332947	0.0852416	36.599
