GeneId,GeneSym,mRNA concentrationa in AU/µg DCW at µ=0.10 h-1,mRNA concentrationa in AU/µg DCW at µ=0.20 h-1,mRNA concentrationa in AU/µg DCW at µ=0.40 h-1,mRNA concentrationa in AU/µg DCW at µ=0.63 h-1,mRNA half-lifea in min at µ=0.10 h-1,mRNA half-lifea in min at µ=0.20 h-1,mRNA half-lifea in min at µ=0.40 h-1,mRNA half-lifea in min at µ=0.63 h-1,Gene in Operonb?,Number of genes in operonb,Position in operonb,Gene is essentialc? ,COGd,Cell location of gene productd,length of ORFe in bp,%GC of ORF,length of 5'UTRf in bp,%GC of 5'UTR,length of ORF+5'UTR in bp,%GC of ORF+5'UTR,CAI of ORF,Protein with signal peptided?
b0001,thrL,1015.42,1180.35,2582.38,4376.44,5.74,5.99,3.13,2.16,Yes,4,1,No,NA,Cytoplasmic,66,0.52,42,0.38,108,0.46,0.64,No
b0002,thrA,17368.14,27339.14,54701.8,76051.78,1.51,1.28,1.31,2.25,Yes,4,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,2463,0.53,142,0.51,2605,0.53,0.39,No
b0003,thrB,13207.7,21523.18,47481.24,59500.33,1.69,1.51,1.49,2.06,Yes,4,3,No,[E] Amino acid transport and metabolism,Cytoplasmic,933,0.56,410,0.53,1343,0.55,0.38,No
b0004,thrC,5097.64,12133.03,22307.03,28635.85,2.03,1.82,1.81,2,Yes,4,4,No,[E] Amino acid transport and metabolism,Cytoplasmic,1287,0.53,286,0.59,1573,0.54,0.43,No
b0005,yaaX,411.97,960.99,2254.5,4836.38,5.82,4.02,3.75,2.21,No,1,NA,No,NA,Unknown,297,0.54,448,0.46,745,0.49,0.39,Yes
b0007,yaaJ,196.39,299.96,315.25,453,10.77,8.1,7.55,7.94,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1431,0.53,484,0.5,1915,0.52,0.34,No
b0008,talB,9173.99,16233.94,23387.74,31061.19,2.47,2.72,2.74,3.15,No,1,NA,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,954,0.52,47,0.4,1001,0.51,0.64,No
b0009,mog,997.41,1594.81,1948.2,1438.22,4.02,2.81,2.49,2.98,No,1,NA,No,[H] Coenzyme transport and metabolism,Cytoplasmic,588,0.54,598,0.52,1186,0.53,0.42,No
b0010,yaaH,311.48,481.48,1046.82,1126.07,9.76,5.73,3.57,4.59,No,1,NA,No,[S] Function unknown,Integral Membrane Protein,567,0.53,70,0.34,637,0.51,0.61,No
b0014,dnaK,23540.33,33309.89,52370.17,55214.81,2.92,2.95,2.63,2.45,Yes,3,NA,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,1917,0.51,6,0.33,1923,0.51,0.76,No
b0015,dnaJ,6175.75,9526.11,16230.14,16280.46,2.19,1.87,1.74,1.54,Yes,3,NA,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,1131,0.55,602,0.5,1733,0.53,0.57,No
b0016,insL,2087.65,4182.76,7041.28,8125.31,2.97,1.98,1.75,1.46,No,1,NA,No,"[L] Replication, recombination and repair",Unknown,1113,0.52,538,0.55,1651,0.53,0.24,No
